title,calory_count,proteins,fats,carbohydrates
Кальмар (мясо),100,18.0,2.2,2.0
Камбала в томатном соусе,88,17.5,2.0,0.0
Камбала дальневосточная,90,15.7,3.0,0.0
Камбала-ерш,88,17.5,2.0,0.0
Камбала обжаренная в масле,254,14.4,21.8,0.0
Камбала полярная,88,17.5,2.0,0.0
Камбала речная горячего копчения,88,17.5,2.0,0.0
Камбала черноморская,84,18.2,1.3,0.0
Каперсы консервированные,23,2.36,0.86,1.69
Капитан-рыба,88,17.5,2.0,0.0
Капуста белокочанная,28,1.8,0.1,4.7
Капуста брюссельская,35,4.8,0.3,3.1
Капуста кольраби,44,2.8,0.1,7.9
Капуста краснокочанная,26,0.8,0.2,5.1
Капуста пекинская,16,1.2,0.2,2.03
Капуста савойская,28,1.2,0.1,6.0
Капуста цветная,30,2.5,0.3,4.2
Капуста цветная маринованная,28,2.5,0.3,4.2
Карамель глазированная,378,1.0,0.8,92.9
Карамель,384,0.0,0.0,95.8
Карась,87,17.7,1.8,0.0
Карась океанический,88,17.5,2.0,0.0
Кардамон,311,10.76,6.7,40.47
Карп,112,16.0,5.3,0.0
Картофель,77,2.0,0.4,16.3
Картофельный порошок,320,5.6,0.2,79.1
Картофель сушеный,317,6.6,0.3,71.6
Квас хлебный,27,0.2,0.0,5.2
Кедровый орех,674,23.7,60.0,20.5
Кета,127,19.0,5.6,0.0
Кета в томатном соусе,88,17.5,2.0,0.0
Кета натуральная,129,21.5,4.8,0.0
Кета соленая,184,24.3,9.6,0.0
Кефаль,88,17.5,2.0,0.0
Кефаль холодного копчения,88,17.5,2.0,0.0
Кефир,31,3.0,0.05,4.0
Киви,47,0.8,0.4,8.1
Киви пюре,47,0.8,0.4,8.2
Кижуч,140,21.6,6.0,0.0
Кижуч консервированный,88,17.5,2.0,0.0
Кизил,40,1.0,0.0,9.7
Килька,136,17.1,7.6,0.0
Килька балтийская,137,14.1,9.0,0.0
Килька балтийская горячего копчения,162,21.3,8.5,0.0
Килька балтийская пряного посола,88,17.5,2.0,0.0
Килька балтийская соленая,137,17.1,7.6,0.0
Килька каспийская,192,18.5,13.1,0.0
Кинза сушеная молотая,216,3.0,0.0,54.5
Китовое мясо,119,22.5,3.2,0.0
Кишмиш,37,0.0,0.0,10.0
Клейковина сырая из муки 1 сорта,309,10.3,1.1,68.9
Клыкач,203,14.4,16.1,0.0
Клюква,28,0.5,0.2,3.7
Княженика,26,0.0,0.0,7.0
Кожа,88,17.5,2.0,0.0
Козлятина,216,18.0,16.0,0.0
Колбаса вареная говяжья,165,15.0,11.7,0.2
Колбаса вареная,254,12.1,22.8,0.0
Колбаса варено-копченая,350,20.0,30.0,0.0
Колбаса полукопченая,423,15.1,40.1,0.3
Колбаса сырокопченая,491,27.7,42.2,0.2
Колбаса сырокопченая свиная,566,13.0,57.0,0.2
Колбасный фарш ветчиннорубленный,212,15.2,15.7,2.8
Колбасный фарш любительский,351,12.3,32.4,2.9
Колбасный фарш отдельный,278,13.6,23.7,2.9
Компот из абрикосов,89,0.2,0.0,21.7
Компот из айвы,82,0.4,0.3,19.7
